sr no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
266,225,19,1004.1,0,532,73.6,3,81,5,21.13
267,240,21,1004.4,0,534,73.9,3,65,5,21.13
268,246,19,1004.5,0,536,74.3,4,57,6,20.96
269,237,12,1004.4,0,538,75.1,2,59,5,20.77
270,223,18,1004.2,0,540,75.7,0,35,1,20.57
271,217,18,1004.2,0,542,76.7,2,23,4,20.29
272,244,16,1004.6,0,544,78,2,18,5,20
273,252,13,1004.6,0,546,78.8,2,22,4,19.92
274,254,15,1004.7,0,548,79.8,3,16,4,19.91
275,241,7,1005,0,550,80.9,5,21,6,19.82
276,225,15,1004.9,0,552,81.7,3,5,5,19.83
277,238,19,1005,0,554,82.6,5,19,8,19.69
278,236,16,1005.3,0,556,83.4,5,24,9,19.58
279,241,19,1005.5,0,558,83.8,6,27,9,19.54
280,247,17,1005.8,0,560,84.4,5,22,8,19.46
281,252,15,1006,0,562,85.3,4,15,6,19.29
282,245,16,1006,0,564,86.2,5,25,9,19.21
283,238,13,1005.9,0,566,86.8,6,16,8,19.16
284,233,15,1005.8,0,568,87.6,5,8,7,19.07
285,202,21,1005.4,0,570,88,4,14,5,19.13
286,189,13,1005.8,0,572,87.9,3,17,5,19.02
287,208,16,1005.6,0,574,88.2,3,10,5,18.98
288,216,44,1005.5,0,576,88.4,3,17,5,18.91
289,163,48,1005,0,578,88.3,3,30,6,19.06
290,192,17,1005.3,0,580,88.1,3,21,5,19.01
291,162,30,1003,0,582,87.8,6,21,11,19.12
292,242,77,1005.6,0,584,87.4,6,9,10,18.83
293,162,99,1005.2,0,586,87.9,2,13,6,18.63
294,198,16,1005.2,0,588,88.4,2,10,5,18.47
295,223,17,1004.8,0,590,89.2,0,17,0,18.22
296,177,17,1004.5,0,592,90.5,2,5,4,18.12
297,230,38,1005.3,0,594,91.4,2,11,4,18
298,246,10,1005.2,0,596,92.1,1,24,3,17.96
299,156,16,1004.2,0,598,93.1,0,21,4,18.15
300,157,25,1004.2,0,600,93,4,25,5,18.23
301,184,31,1004,0,602,92.9,4,24,5,18.03
302,211,55,1005.2,0,604,93.1,4,18,8,17.85
303,202,50,1004.1,0,606,93.9,2,21,6,18.02
304,152,12,1003.6,0,608,93.6,4,20,6,18.11
305,153,21,1003.6,0,610,92.8,4,24,7,18.01
306,153,25,1003.3,0,612,92.5,5,18,6,17.93
307,137,20,1003,0,614,92.3,5,12,7,17.79
308,200,42,1003.6,0,616,92.5,4,12,7,17.51
309,213,14,1003.7,0,618,93.2,1,23,3,17.5
310,215,27,1004,0,620,93.8,2,14,5,17.47
311,222,14,1004,0,622,94.2,1,21,5,17.36
312,209,14,1003.8,0,624,94.9,2,22,4,17.46
313,192,12,1003.5,0,626,94.8,1,11,4,17.38
314,179,17,1003.6,0,628,94.7,2,24,5,17.28
315,195,11,1003.2,0,630,95,1,14,4,17.33
316,199,21,1003.7,0,632,94.9,0,24,0,17.27
317,256,14,1003.9,0,634,95,0,18,0,17.15
318,227,5,1004.1,0,636,95.1,0,24,0,17.11
319,226,0,1004.3,0,638,95.1,0,18,0,16.96
320,226,0,1004.5,0,640,95.5,0,23,0,16.97
321,226,0,1004.5,0,642,95.8,0,12,0,16.85
322,227,8,1004.1,0,644,96,0,23,0,16.7
323,155,35,1004,0,646,96.3,0,14,0,16.7
324,138,0,1003.8,0,648,96.6,0,21,0,16.69
325,161,35,1004.2,0,650,97,0,9,3,16.69
326,236,0,1004.4,0,652,97.3,0,18,3,16.63
327,237,0,1004.3,0,654,97.5,0,14,0,16.65
328,237,0,1004.5,0,656,97.5,0,24,0,16.78
329,237,0,1004.4,0,658,97.5,0,17,0,16.83
330,230,20,1004.3,0,660,97.5,0,33,1,16.93
331,114,29,1004,0,662,97.5,5,8,8,17.17
332,130,39,1004.2,0,664,97,4,13,6,17.23
333,80,8,1004.8,0,666,96.1,2,30,7,17.16
334,88,13,1004.5,0,668,95.7,2,32,4,17.12
335,109,8,1003.9,0,670,95.5,4,50,6,17.12
336,105,15,1004.4,0,672,95.4,2,82,4,17.21
337,77,1,1004.4,0,674,95.4,1,57,4,17.28
338,112,32,1004.5,0,676,95.3,0,59,4,17.32
339,118,24,1004.1,0,678,94.9,3,45,5,17.45
340,141,15,1004.5,0,680,94.1,2,57,5,17.56
341,123,18,1004,0,682,93.1,4,55,6,17.71
342,136,15,1002.8,0,684,91.7,6,63,8,17.83
343,153,30,1003.3,0,686,90.9,4,150,8,17.98
344,141,29,1003.2,0,688,89.7,4,125,6,18.34
345,173,56,1004.2,0,690,88.4,5,199,9,18.74
346,236,23,1003.8,0,692,86,5,243,9,19.5
347,205,27,1003.9,0,694,80.4,4,151,6,19.77
348,206,40,1004.6,0,696,78.6,5,105,7,19.62
349,242,18,1004.7,0,698,78.9,6,100,9,19.39
350,227,22,1004.5,0,700,79,4,146,6,19.47
351,209,28,1004.2,0,702,78.4,3,204,6,19.77
352,173,19,1003.7,0,704,76.5,4,309,6,20.14
353,175,20,1004,0,706,74,4,178,8,20.4
354,195,28,1004.2,0,708,74.9,4,118,6,20.02
355,237,16,1004.9,0,710,75,2,164,5,20.04
356,250,15,1005.1,0,712,75.5,3,208,6,20.35
357,282,19,1006.1,0,714,73.7,7,213,10,20.47
358,302,24,1005.5,0,716,74.5,4,203,8,20.47
359,318,37,1005.6,0,718,75.2,2,153,6,20.59
360,297,19,1005.9,0,720,74.4,5,255,7,20.85
361,270,23,1005.5,0,722,72.8,5,247,8,20.9
362,274,21,1004.9,0,724,71.6,4,437,6,21.31
363,285,42,1004.8,0,726,69.9,4,249,5,21.07
364,266,18,1004.4,0,728,69.6,2,404,5,21.4
365,58,41,1003.6,0,730,69.1,1,266,5,21.53
366,110,56,1003.6,0,732,68.2,3,153,6,21.63
367,96,22,1002.9,0,734,69.2,5,208,8,21.23
368,87,13,1002.6,0,736,69.1,5,307,7,21.35
369,95,15,1002.4,0,738,67.5,7,205,10,21.71
370,89,14,1002,0,740,68.2,7,221,10,21.52
371,75,28,1001.9,0,742,66.4,4,731,7,22.66
372,67,30,1002,0,744,61.4,4,619,7,23.24
373,53,18,1001.7,0,746,61.1,6,481,9,23.53
374,33,20,1000.9,0,748,56.3,6,1261,9,25.09
375,39,18,1000.6,0,750,51.8,7,530,12,24.99
376,40,14,1000.4,0,752,50.3,8,419,10,25.19
377,39,18,1000.2,0,754,48.6,7,386,12,24.92
378,36,19,1000.2,0,756,48.4,8,671,10,25.65
379,38,17,1000.1,0,758,47.1,10,694,16,26.37
380,33,18,1000.1,0,760,47.3,9,444,14,25.8
381,33,21,999.9,0,762,41.5,9,509,15,26.28
382,22,20,1000.4,0,764,39.5,10,1104,15,27.49
383,14,20,1000.4,0,766,38.2,10,392,18,27.16
384,22,15,1000.3,0,768,41.9,12,161,19,26.34
385,15,17,1000.3,0,770,43.9,9,135,16,26.17
386,7,21,1000.1,0,772,42.6,7,137,11,26.25
387,1,16,1000.2,0,774,43.5,8,101,13,26.03
388,10,20,1000,0,776,43.5,6,189,9,26.39
389,29,16,999.9,0,778,43.2,6,114,9,26.52
390,23,15,999.9,0,780,39.1,7,216,10,26.72
391,28,17,999.7,0,782,39,7,432,12,27.28
392,20,17,999.7,0,784,37.4,6,375,10,27.75
393,14,22,999.6,0,786,36.4,7,210,10,27.46
394,1,16,999.8,0,788,36.4,6,58,11,26.89
395,358,14,999.8,0,790,37.3,7,57,12,26.63
396,359,11,999.6,0,792,38.4,5,48,8,26.47
397,348,12,999.5,0,794,38.4,4,56,6,26.49
398,337,10,999.8,0,796,39.5,4,55,6,26.4
399,320,18,999.9,0,798,39.1,5,50,7,26.24
400,304,20,1000.4,0,800,40.7,9,18,18,26.12
401,302,19,1000.5,0,802,52.5,14,48,23,24.64
402,303,23,1000.6,0,804,53.6,12,43,21,23.98
403,304,21,1000.9,0,806,56.5,11,44,19,23.45
404,303,21,1001.5,0,808,60.5,13,43,20,23.01
405,301,22,1001.9,0,810,61.2,15,37,23,22.35
406,304,20,1001.5,0,812,64.2,14,55,22,22.07
407,313,23,1002,0,814,61.7,18,27,28,21.67
408,315,23,1001.6,0,816,58.8,13,24,23,21.76
409,314,23,1001.9,0,818,56.6,15,31,30,21.82
410,313,22,1001.8,0,820,55.8,18,33,32,21.55
411,317,20,1002.1,0,822,64.3,18,36,29,20.21
