sr no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
130,218,26,1004.8,0,260,63.6,6,18,9,22.34
131,206,64,1004.9,0,262,63.7,5,24,7,22.07
132,221,29,1005,0,264,65.2,5,15,8,21.84
133,218,30,1005.1,0,266,66.2,3,11,6,21.67
134,200,28,1005.2,0,268,66.6,2,26,4,21.45
135,209,19,1005.2,0,270,67.5,3,18,4,21.14
136,224,16,1005.2,0,272,68.7,2,15,4,20.85
137,231,11,1005.2,0,274,69.8,4,23,5,20.59
138,234,19,1005.3,0,276,71.9,2,20,5,20.48
139,229,19,1005.4,0,278,72.5,2,15,4,20.34
140,206,17,1005.4,0,280,73.3,1,16,3,20.33
141,200,10,1005.4,0,282,73.8,2,24,4,20.11
142,223,12,1005.5,0,284,74.6,2,18,3,20.06
143,234,10,1005.6,0,286,75.8,0,20,2,19.7
144,235,9,1005.8,0,288,78,2,17,5,19.54
145,220,13,1005.7,0,290,80,2,10,4,19.44
146,210,12,1005.7,0,292,81.7,2,26,4,19.33
147,196,6,1005.7,0,294,82.9,3,23,4,19.33
148,194,10,1005.7,0,296,83.3,3,26,3,19.13
149,193,5,1005.7,0,298,84.7,1,18,3,19.17
150,198,1,1005.7,0,300,85.1,0,21,0,18.92
151,198,0,1005.7,0,302,86.2,0,13,0,18.76
152,195,4,1005.6,0,304,86.6,0,17,0,18.5
153,182,3,1005.5,0,306,87.1,0,16,0,18.28
154,176,2,1005.4,0,308,87.7,0,15,0,18.17
155,177,1,1005.4,0,310,89,0,7,0,18.11
