ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10490404,HZ231238,04/18/2016 07:00:00 AM,074XX N ROGERS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2422,024,49,1,14,1163951,1949684,2016,04/25/2016 03:51:07 PM,42.017562503,-87.672032437,"(42.017563, -87.672032)"
10490406,HZ231318,04/18/2016 07:39:00 PM,081XX S PRINCETON AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,false,false,0622,006,21,44,14,1175700,1851022,2016,04/25/2016 03:51:07 PM,41.746571036,-87.631766989,"(41.746571, -87.631767)"
10490411,HZ231178,04/18/2016 05:30:00 PM,001XX W 79TH ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0623,006,17,69,06,1176766,1852607,2016,04/25/2016 03:51:07 PM,41.75089655,-87.627813307,"(41.750897, -87.627813)"
10490412,HZ231215,04/18/2016 06:00:00 PM,059XX W HIGGINS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,false,false,1622,016,45,11,03,1135644,1933146,2016,04/25/2016 03:51:07 PM,41.972733755,-87.776592851,"(41.972734, -87.776593)"
10490413,HZ231315,04/18/2016 06:00:00 PM,085XX S EXCHANGE AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,true,false,0423,004,10,46,18,1197294,1848966,2016,04/25/2016 03:51:07 PM,41.740418835,-87.552711083,"(41.740419, -87.552711)"
10490414,HZ231327,04/18/2016 06:47:00 PM,048XX S BISHOP ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,0933,009,20,61,24,1167483,1872662,2016,04/25/2016 03:51:07 PM,41.806133835,-87.661256356,"(41.806134, -87.661256)"
10490415,HZ231358,04/18/2016 12:00:00 PM,006XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,false,true,0123,001,2,32,08B,1176452,1897617,2016,04/25/2016 03:51:07 PM,41.8744151,-87.627609439,"(41.874415, -87.627609)"
10490416,HZ231355,04/18/2016 05:00:00 PM,013XX N CLEVELAND AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1821,018,27,8,06,1172740,1909425,2016,04/25/2016 03:51:07 PM,41.906899902,-87.640888264,"(41.9069, -87.640888)"
10490419,HZ231294,04/18/2016 06:30:00 PM,075XX S STEWART AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,true,false,0621,006,17,69,18,1174929,1855022,2016,04/25/2016 03:51:07 PM,41.757564743,-87.634473052,"(41.757565, -87.634473)"
10490420,HZ231291,04/18/2016 06:50:00 PM,042XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1011,010,24,29,08B,1148487,1894373,2016,04/25/2016 03:51:07 PM,41.866098236,-87.730368538,"(41.866098, -87.730369)"
10490424,HZ231359,04/18/2016 07:40:00 PM,059XX W 63RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0812,008,13,64,08B,1137863,1861855,2016,04/25/2016 03:51:07 PM,41.777061759,-87.770153114,"(41.777062, -87.770153)"
10490426,HZ231350,04/18/2016 07:40:00 PM,002XX S LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1522,015,29,25,18,1141753,1898706,2016,04/25/2016 03:51:07 PM,41.87811568,-87.754982715,"(41.878116, -87.754983)"
10490429,HZ231258,04/18/2016 06:05:00 PM,063XX S DR MARTIN LUTHER KING JR DR,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,true,false,0312,003,20,69,26,1180013,1862902,2016,04/25/2016 03:51:07 PM,41.779073436,-87.615600014,"(41.779073, -87.6156)"
10490423,HZ231189,04/18/2016 05:20:00 PM,064XX S MAPLEWOOD AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,true,true,0825,008,15,66,04B,1160479,1861959,2016,04/28/2016 03:49:22 PM,41.776910797,-87.687239602,"(41.776911, -87.68724)"
10490430,HZ231330,04/18/2016 07:25:00 PM,040XX W LAKE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1114,011,28,26,11,1149512,1901446,2016,04/25/2016 03:51:07 PM,41.885487535,-87.726422045,"(41.885488, -87.726422)"
10490432,HZ231250,04/18/2016 06:30:00 PM,128XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0523,005,34,53,14,1173666,1819741,2016,04/25/2016 03:51:07 PM,41.660776582,-87.64014264,"(41.660777, -87.640143)"
10490433,HZ231305,04/18/2016 06:44:00 PM,066XX S MARSHFIELD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0725,007,15,67,18,1166472,1860580,2016,04/25/2016 03:51:07 PM,41.773000985,-87.665308649,"(41.773001, -87.665309)"
10490435,HZ231363,04/18/2016 06:30:00 PM,022XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1034,010,25,31,06,1160722,1888860,2016,04/25/2016 03:51:07 PM,41.850725412,-87.685605427,"(41.850725, -87.685605)"
10490436,HZ231376,04/18/2016 08:00:00 PM,030XX W BRYN MAWR AVE,0320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,false,false,2011,020,40,4,03,1154942,1937053,2016,04/25/2016 03:51:07 PM,41.983088703,-87.70552444,"(41.983089, -87.705524)"
10490437,HZ231342,04/18/2016 06:50:00 PM,026XX W CERMAK RD,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1023,010,28,30,24,1159070,1889295,2016,04/25/2016 03:51:07 PM,41.851953132,-87.691656676,"(41.851953, -87.691657)"
10490438,HZ231333,04/18/2016 07:35:00 PM,0000X W VAN BUREN ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,0113,001,2,32,18,1176291,1898526,2016,04/25/2016 03:51:07 PM,41.876913081,-87.628173133,"(41.876913, -87.628173)"
10490439,HZ231375,04/18/2016 06:29:00 PM,042XX W MADISON ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,1115,011,28,26,26,1148029,1899673,2016,04/25/2016 03:51:07 PM,41.880650875,-87.73191358,"(41.880651, -87.731914)"
10490441,HZ231140,04/18/2016 11:00:00 AM,057XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0232,002,20,40,14,1178137,1866990,2016,04/25/2016 03:51:07 PM,41.790334078,-87.622353626,"(41.790334, -87.622354)"
10490442,HZ231288,04/18/2016 06:20:00 PM,109XX S DOTY AVE E,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0513,005,10,51,06,1185667,1832643,2016,04/25/2016 03:51:07 PM,41.695908161,-87.595822806,"(41.695908, -87.595823)"
10490445,HZ231300,04/18/2016 06:52:00 PM,005XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1132,011,24,26,18,1149808,1897367,2016,04/25/2016 03:51:07 PM,41.874288556,-87.725441164,"(41.874289, -87.725441)"
10490446,HZ231335,04/18/2016 06:44:00 PM,007XX N TRUMBULL AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1121,011,27,23,18,1153247,1904674,2016,04/25/2016 03:51:07 PM,41.894272184,-87.71262058,"(41.894272, -87.712621)"
10490448,HZ231167,04/18/2016 04:00:00 PM,040XX N KEYSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1722,017,39,16,08B,1148568,1926575,2016,04/25/2016 03:51:07 PM,41.954462142,-87.729238584,"(41.954462, -87.729239)"
10490452,HZ231336,04/18/2016 07:00:00 AM,102XX S OGLESBY AVE,0810,THEFT,OVER $500,STREET,false,false,0431,004,10,51,06,1193842,1837536,2016,04/25/2016 03:51:07 PM,41.709139079,-87.565732002,"(41.709139, -87.565732)"
10490454,HZ231370,04/18/2016 07:40:00 PM,058XX S CALUMET AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0232,002,20,40,18,1179483,1866270,2016,04/25/2016 03:51:07 PM,41.788327679,-87.617440225,"(41.788328, -87.61744)"
10490456,HZ231371,04/18/2016 07:59:00 PM,065XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0312,003,20,42,14,1180046,1861722,2016,04/25/2016 03:51:07 PM,41.775834643,-87.615515144,"(41.775835, -87.615515)"
