sr_no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
442,285,20,1001.4,0,884,94.3,7,25,12,16.06
443,273,19,1001.3,0,886,82,9,20,15,16.18
444,270,20,1001.4,0,888,76.1,9,13,16,16.39
445,266,22,1001.4,0,890,72.3,9,26,16,16.44
446,270,20,1001.8,0,892,71.5,9,15,16,16.41
447,283,15,1002.1,0,894,73.3,6,15,9,16.13
448,281,19,1002.1,0,896,72.5,6,19,10,16.21
449,283,16,1002.1,0,898,71.5,6,21,11,16.39
450,281,16,1001.8,0,900,69.7,6,27,9,16.5
451,283,14,1001.6,0,902,70.4,4,15,8,16.18
452,296,14,1001.4,0,904,71.4,4,26,7,15.91
453,319,12,1001.2,0,906,73.6,4,22,6,15.63
454,321,7,1000.8,0,908,74.3,3,15,5,15.62
455,313,7,1001.1,0,910,76,4,16,6,15.61
456,294,20,1001.1,1.6,912,82.5,5,28,9,14.94
457,297,12,1001.2,0,914,87,5,13,7,14.64
458,284,16,1001.2,0,916,89.5,5,19,7,14.39
459,316,6,1001.3,0,918,90.8,4,11,5,14.24
460,340,26,1001.2,0,920,91.6,2,14,5,14.01
461,27,9,1001.1,0,922,92.8,4,10,6,13.79
462,29,8,1000.8,0,924,93.7,5,17,7,13.71
463,51,10,1000.6,0,926,94.2,6,20,7,13.7
464,68,14,1000.4,0,928,95.5,6,12,8,13.74
465,39,13,1000.4,0.2,930,96.6,6,14,7,13.79
466,316,50,1001,0,932,97.4,5,20,9,13.82
467,317,33,1000.9,0,934,97.4,5,21,12,14.06
468,311,21,1000.9,0,936,90,10,7,19,15.24
469,311,21,1000.7,0,938,76.5,12,18,20,15.91
470,308,19,1000.9,0,940,74.1,11,17,19,16.11
471,304,20,1000.9,0,942,68.5,12,11,21,16.48
472,302,20,1001,0,944,66.6,14,22,21,16.94
473,304,20,1001.2,0,946,66.6,15,13,22,16.69
474,302,23,1001.3,0,948,68.6,12,14,22,16.55
475,303,19,1001.4,0,950,67.7,11,15,18,16.47
476,313,20,1001.5,0,952,69.7,11,29,22,16.65
477,308,20,1001.4,0,954,72,10,54,17,16.79
478,318,21,1001.8,0,956,75.9,12,28,26,15.63
479,317,21,1001.9,0,958,80.1,11,31,16,15.19
480,300,19,1001.9,0,960,77.5,10,38,19,15.92
481,287,23,1002.1,0,962,71.7,10,41,18,16.48
482,288,19,1002.1,0,964,67.5,12,70,20,16.76
483,289,20,1002.4,0,966,64.4,14,56,20,16.91
484,295,19,1002.6,0,968,62.7,12,307,19,17.53
485,294,18,1002.8,0,970,59.7,12,332,20,17.71
486,292,19,1002.9,0,972,60,12,443,21,18.11
487,299,21,1003,0,974,61.6,12,209,21,18.08
488,283,23,1003.2,0,976,67.8,13,154,20,17.61
489,274,22,1003.5,0,978,63.3,13,202,22,17.47
490,281,24,1003.7,0.3,980,63,13,165,26,17.35
491,294,19,1003.9,0,982,71.8,13,202,23,16.67
492,299,18,1003.9,0,984,76.3,12,282,20,16.25
493,298,18,1003.9,0,986,74.2,9,536,15,17.41
494,293,20,1004.1,0,988,68.7,9,560,16,18.3
495,294,18,1004.1,0,990,64.8,10,596,17,19.13
496,295,23,1004.2,0,992,66.2,10,685,19,19.42
497,292,22,1004.1,0,994,66.6,11,223,18,18.85
498,297,21,1004,0,996,60.9,13,260,23,19.44
499,291,22,1004.2,0,998,59.9,13,862,23,20.25
500,282,23,1004.3,0,1000,53.3,15,940,24,20.5
501,273,25,1004.7,0,1002,68.3,16,246,29,17.9
502,298,20,1004.7,0.2,1004,80.5,12,340,26,16.41
503,289,18,1004.7,0,1006,79.1,9,865,16,17.72
504,293,25,1004.6,0,1008,71.4,9,941,15,19.78
505,295,21,1004.6,0,1010,64.5,11,908,20,19.75
506,283,22,1004.5,0,1012,62,10,492,18,20.4
507,288,23,1005.2,1.3,1014,75.3,12,227,23,16.96
508,292,18,1005,0.2,1016,85.9,9,381,13,17.37
509,295,23,1005,0,1018,84.6,9,499,17,17.72
510,296,24,1005.1,0,1020,83.8,8,237,13,19.19
511,300,22,1005,0,1022,69.8,12,287,21,20.03
512,299,23,1005.1,0,1024,62,14,346,23,20.67
513,292,21,1005.1,0,1026,60.1,14,1020,26,20.95
514,292,22,1005.3,0,1028,56.1,15,1126,27,21.3
515,299,23,1005.5,0,1030,57.4,15,335,25,20.78
516,294,19,1005.5,0,1032,68.3,12,1109,21,20.71
517,299,25,1005.6,0,1034,59.5,12,1029,24,21.78
518,296,20,1005.5,0,1036,57.8,16,1117,24,21.83
519,306,22,1005.5,0,1038,54.6,16,1054,24,22.14
520,301,21,1005.4,0,1040,56.9,15,1152,26,22.62
521,299,28,1005.4,0,1042,54.8,15,1307,23,22.08
522,309,24,1005.6,0,1044,50.7,15,716,23,22.29
523,314,20,1005.6,0,1046,51.2,16,1248,27,22.27
524,296,21,1005.6,0,1048,53,14,1111,24,22.75
525,289,23,1005.5,0,1050,54.7,14,735,23,22.19
526,292,22,1005.6,0,1052,54.6,14,410,26,21.42
527,288,22,1005.8,0,1054,60.8,15,828,28,20.93
528,284,26,1005.8,0,1056,59.2,11,607,18,21.93
529,291,25,1005.9,0,1058,58.1,12,337,20,21.34
530,285,27,1005.9,0,1060,59.1,11,328,18,20.58
531,269,21,1006,0,1062,57.7,12,358,20,21.23
532,281,20,1006,0,1064,58.9,13,531,22,21.42
533,272,26,1005.9,0,1066,55.2,10,266,18,22.31
534,263,25,1006.1,0,1068,61.3,11,251,19,21.16
535,262,29,1006.2,0,1070,58.9,11,822,18,22.36
536,253,29,1006.3,0,1072,58.4,12,929,21,22.07
537,260,24,1006.2,0,1074,57.9,12,837,22,21.8
538,268,25,1006.4,0,1076,53,12,801,21,21.68
539,262,25,1006.4,0,1078,56.3,12,257,20,20.96
540,255,24,1006.6,0,1080,54.7,11,729,18,21.61
541,266,21,1006.7,0,1082,54.3,11,695,19,21.64
542,256,25,1007,0,1084,57.5,10,261,18,21.41
543,252,25,1007.1,0,1086,56.9,10,224,18,20.81
544,257,24,1007.1,0,1088,57.3,11,230,19,20.67
545,262,23,1007.2,0,1090,56.9,10,249,16,20.77
546,255,29,1007.4,0,1092,53.9,10,127,20,20.73
547,255,28,1007.5,0,1094,57.7,10,527,17,20.75
548,253,26,1007.6,0,1096,57.8,10,297,16,20.31
549,251,24,1007.6,0,1098,57.5,9,166,15,20.57
550,256,23,1007.8,0,1100,57.9,10,161,19,20.16
551,260,22,1007.9,0,1102,56.1,11,369,18,20.24
552,252,21,1008.2,0,1104,56,12,307,19,19.96
553,257,22,1008.4,0,1106,56,9,238,16,20.03
554,254,29,1008.5,0,1108,54.9,7,197,11,19.95
555,255,22,1008.7,0,1110,57.6,10,129,16,19.51
556,247,21,1008.8,0,1112,58.3,9,94,13,19.21
557,256,20,1008.8,0,1114,59.7,9,46,16,18.87
558,254,25,1008.9,0,1116,61.5,8,23,12,18.65
559,254,25,1009,0,1118,63.4,6,32,10,18.36
560,257,19,1009,0,1120,63.9,7,25,11,18.28
561,265,16,1009.1,0,1122,64.6,5,22,8,18.25
562,251,18,1009.2,0,1124,64.5,6,19,9,18.28
563,255,23,1009.2,0,1126,64.3,6,18,9,18.39
564,247,19,1009.3,0,1128,64.1,6,24,9,18.39
565,261,14,1009.4,0,1130,65.1,5,16,9,18.24
566,250,21,1009.6,0,1132,66.2,5,21,8,18.18
567,248,19,1009.7,0,1134,66.5,6,20,9,18.17
568,250,20,1009.8,0,1136,66,6,10,11,18.16
569,257,18,1009.9,0,1138,65.7,7,12,10,18.28
570,265,19,1010,0,1140,65.7,6,22,13,18.24
571,258,14,1010.1,0,1142,66.7,5,18,9,18.36
572,252,21,1010.1,0,1144,66.5,6,21,12,18.32
573,257,20,1010.3,0,1146,64.4,7,22,10,18.18
574,255,17,1010.4,0,1148,65.9,6,12,11,18.01
575,250,20,1010.5,0,1150,66.4,6,12,10,18.21
576,248,18,1010.6,0,1152,66.6,7,10,12,18.21
577,251,19,1010.6,0,1154,66.8,5,14,11,17.9
578,243,18,1010.6,0,1156,67.2,6,13,9,17.68
579,245,13,1010.5,0,1158,67.9,5,19,7,17.42
